id,load_id,source_file_name,report_generated_date,debt_asof_date_param,parent_org_id,client_id,client_name,client_group,invoice_date,due_date,payment_term_days,analytics_type,currency_code,invoice_amount,overdue_amount_rub,overdue_amount_eur,days_overdue_real,days_until_due_real,is_overdue_real,is_due_today,is_due_in_3_days,is_due_in_7_days,is_negative_document,order_number,print_invoice_number,system_invoice_number,invoice_status
420,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_001,10001,NordAuto_001,BRANCH_URAL,2026-04-20,2026-04-23,3,FLEET,RUR,1930.0,1930.0,0.0,0,3,False,False,True,True,False,ORD0000001,INV0000001,SYS0000001,DUE IN 3 DAYS
421,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_002,10002,Prime Service_002,BRANCH_URAL,2026-04-20,2026-04-23,3,REGIONAL,RUR,8400.0,8400.0,0.0,0,3,False,False,True,True,False,ORD0000002,INV0000002,SYS0000002,DUE IN 3 DAYS
423,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_003,10003,Vector Trade_003,BRANCH_CENTER,2026-04-20,2026-04-23,3,REGIONAL,RUR,1660.0,1660.0,0.0,0,3,False,False,True,True,False,ORD0000003,INV0000003,SYS0000003,DUE IN 3 DAYS
422,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_003,10003,Vector Trade_003,BRANCH_CENTER,2026-04-20,2026-04-23,3,REGIONAL,RUR,9070.0,9070.0,0.0,0,3,False,False,True,True,False,ORD0000004,INV0000004,SYS0000004,DUE IN 3 DAYS
424,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_004,10004,AutoPoint_004,BRANCH_CENTER,2026-04-06,2026-04-20,14,WHOLESALE,RUR,41409.88,41409.88,0.0,0,0,False,True,True,True,False,ORD0000005,INV0000005,SYS0000005,DUE TODAY
425,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_004,10004,AutoPoint_004,BRANCH_CENTER,2026-04-20,2026-05-04,14,WHOLESALE,RUR,125367.42,125367.42,0.0,0,14,False,False,False,False,False,ORD0000006,INV0000006,SYS0000006,NOT DUE
385,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_005,10005,TransitOil_005,BRANCH_URAL,2026-04-20,2026-04-23,3,WHOLESALE,RUR,486.0,486.0,0.0,0,3,False,False,True,True,False,ORD0000007,INV0000007,SYS0000007,DUE IN 3 DAYS
386,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_005,10005,TransitOil_005,BRANCH_URAL,2026-04-20,2026-04-23,3,FLEET,RUR,4900.0,4900.0,0.0,0,3,False,False,True,True,False,ORD0000008,INV0000008,SYS0000008,DUE IN 3 DAYS
387,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_005,10005,TransitOil_005,BRANCH_URAL,2026-04-20,2026-04-23,3,CORPORATE,RUR,3750.0,3750.0,0.0,0,3,False,False,True,True,False,ORD0000009,INV0000009,SYS0000009,DUE IN 3 DAYS
383,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_005,10005,TransitOil_005,BRANCH_URAL,2026-04-20,2026-04-23,3,REGIONAL,RUR,486.0,486.0,0.0,0,3,False,False,True,True,False,ORD0000010,INV0000010,SYS0000010,DUE IN 3 DAYS
384,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_005,10005,TransitOil_005,BRANCH_URAL,2026-04-20,2026-04-23,3,WHOLESALE,RUR,1070.0,1070.0,0.0,0,3,False,False,True,True,False,ORD0000011,INV0000011,SYS0000011,DUE IN 3 DAYS
426,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_006,10006,MotorHub_006,BRANCH_VOLGA,2026-04-20,2026-04-23,3,STANDARD,RUR,6918.0,6918.0,0.0,0,3,False,False,True,True,False,ORD0000012,INV0000012,SYS0000012,DUE IN 3 DAYS
427,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_007,10007,Velocity Parts_007,BRANCH_VOLGA,2026-04-20,2026-04-23,3,STANDARD,RUR,100.0,100.0,0.0,0,3,False,False,True,True,False,ORD0000013,INV0000013,SYS0000013,DUE IN 3 DAYS
428,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_008,10008,DriveLine_008,BRANCH_URAL,2026-04-20,2026-04-23,3,CORPORATE,RUR,1500.0,1500.0,0.0,0,3,False,False,True,True,False,ORD0000014,INV0000014,SYS0000014,DUE IN 3 DAYS
429,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_008,10008,DriveLine_008,BRANCH_URAL,2026-04-20,2026-04-23,3,REGIONAL,RUR,350.0,350.0,0.0,0,3,False,False,True,True,False,ORD0000015,INV0000015,SYS0000015,DUE IN 3 DAYS
430,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_009,10009,East Motors_009,BRANCH_VOLGA,2026-04-20,2026-04-23,3,STANDARD,RUR,2400.0,2400.0,0.0,0,3,False,False,True,True,False,ORD0000016,INV0000016,SYS0000016,DUE IN 3 DAYS
433,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_010,10010,City Truck_010,BRANCH_URAL,2026-04-20,2026-05-04,14,FLEET,RUR,61387.39,61387.39,0.0,0,14,False,False,False,False,False,ORD0000017,INV0000017,SYS0000017,NOT DUE
431,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_010,10010,City Truck_010,BRANCH_URAL,2026-04-20,2026-05-04,14,CORPORATE,RUR,35875.6,35875.6,0.0,0,14,False,False,False,False,False,ORD0000018,INV0000018,SYS0000018,NOT DUE
432,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_010,10010,City Truck_010,BRANCH_URAL,2026-04-20,2026-05-04,14,REGIONAL,RUR,50665.13,50665.13,0.0,0,14,False,False,False,False,False,ORD0000019,INV0000019,SYS0000019,NOT DUE
435,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_011,10011,Titan Auto_011,BRANCH_URAL,2026-04-15,2026-04-29,14,FLEET,RUR,32698.2,32698.2,0.0,0,9,False,False,False,False,False,ORD0000020,INV0000020,SYS0000020,NOT DUE
434,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_011,10011,Titan Auto_011,BRANCH_URAL,2026-04-15,2026-04-29,14,WHOLESALE,RUR,8216.16,8216.16,0.0,0,9,False,False,False,False,False,ORD0000021,INV0000021,SYS0000021,NOT DUE
412,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_031,10012,Progress Trade_012,BRANCH_CENTER,2026-03-31,2026-04-05,5,REGIONAL,RUR,300.0,300.0,0.0,15,-15,True,False,False,False,False,ORD0000022,INV0000022,SYS0000022,OVERDUE
436,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_012,10013,Global Parts_013,BRANCH_VOLGA,2026-04-20,2026-04-23,3,CORPORATE,RUR,2586.0,2586.0,0.0,0,3,False,False,True,True,False,ORD0000023,INV0000023,SYS0000023,DUE IN 3 DAYS
438,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_014,10014,Alliance Service_014,BRANCH_VOLGA,2026-04-20,2026-04-23,3,STANDARD,RUR,9660.0,9660.0,0.0,0,3,False,False,True,True,False,ORD0000024,INV0000024,SYS0000024,DUE IN 3 DAYS
395,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_026,10015,Sigma Auto_015,BRANCH_CENTER,2026-02-20,2026-04-21,60,WHOLESALE,RUR,17113.8,17113.8,0.0,0,1,False,False,True,True,False,ORD0000025,INV0000025,SYS0000025,DUE IN 3 DAYS
396,8,demo_receivables_snapshot.txt,2026-04-20,2029-04-20,HOLDING_026,10015,Sigma Auto_015,BRANCH_CENTER,2026-03-04,2026-05-03,60,CORPORATE,RUR,16048.73,16048.73,0.0,0,13,False,False,False,False,False,ORD0000026,INV0000026,SYS0000026,NOT DUE
